Summary,Issue Type,Priority,Description,Story Points,Epic Name,Epic Link,Sprint,Labels,Component/s
[EPIC] Segurança e Redução de Sinistros,Epic,High,OKR 1 — Tornar a frota mais segura e reduzir custos com sinistros. KR 1.1: reduzir o índice de acidentes por excesso de velocidade em 20% até setembro de 2026.,,Segurança e Redução de Sinistros,,,,
[EPIC] Manutenção Inteligente,Epic,High,OKR 2 — Reduzir custo operacional com manutenção. KR 2.1: reduzir o custo médio de manutenção corretiva por veículo em 15% até setembro de 2026.,,Manutenção Inteligente,,,,
[INFRA] Setup de ambiente e pipeline CI/CD,Task,High,"Configuração dos três ambientes (dev / staging / prod) na AWS com isolamento completo de dados.

Escopo:
- Pipeline CI/CD no GitHub Actions com stages: lint → test → build → deploy
- Branch strategy: main (prod), develop (staging), feature/* (dev)
- Secrets management via AWS Secrets Manager
- Notificação Slack no canal #routewise a cada deploy em staging e prod
- Health checks automáticos pós-deploy com rollback em < 10 min se falha

DoD: pipeline verde em todos os ambientes, rollback testado com sucesso em staging.",3,,,Sprint 1,infra entregue,infra
[INFRA] Modelagem de dados e banco de telemetria,Task,High,"Modelagem e provisionamento do banco de dados de telemetria para suportar 140 rastreadores em escrita contínua.

Requisitos:
- TimescaleDB (PostgreSQL extension) para séries temporais de GPS
- Schema principal: vehicle_id, timestamp, lat, lon, speed_kmh, event_type, payload_json
- Particionamento por mês para purge automático após 24 meses
- Índice composto (vehicle_id, timestamp) para queries de histórico
- Capacidade alvo: 140 veículos × 1 evento/30s × 24h = ~403.200 eventos/dia

DoD: insert de 1.000 eventos/s sem degradação, query de 30 dias < 500ms.

Responsável técnico: Marcus (consultoria backend — modelagem de séries temporais e otimização de queries).",5,,,Sprint 1,infra entregue,infra
[INFRA] Integração com rastreadores GPS via MQTT,Task,Highest,"Integração com os 140 rastreadores Teltonika FMB920 via protocolo MQTT (AWS IoT Core).

Escopo:
- Broker MQTT: AWS IoT Core com certificados por dispositivo
- Tópico padrão: routewise/fleet/{vehicle_id}/telemetry
- Consumer em Node.js (AWS Lambda) que parseia payload binário proprietário
- Validação de integridade: checksum CRC16 em cada mensagem
- Tratamento de reconexão: buffer local no dispositivo de até 24h offline

DoD: 140 rastreadores conectados em homologação, taxa de perda < 0.1%.

Responsável técnico: Marcus (consultoria backend — integração MQTT, parser do payload Teltonika, Lambda Node.js).",8,,,Sprint 1,infra entregue,integracao-gps
[INFRA] Controle de acesso RBAC — perfis Carlos / Priya / Motorista,Task,High,"Implementar modelo de controle de acesso baseado em roles para os três perfis do sistema.

Roles:
- ADMIN (Carlos): acesso total, configuração de thresholds, exportação de dados
- OPERATOR (Priya): visualização do mapa, alertas, histórico — sem configuração
- DRIVER (Motoristas): acesso apenas ao próprio score e alertas recebidos

Implementação: JWT com claims de role, middleware de autorização em todas as rotas de API.

DoD: 3 perfis testados com Playwright, nenhum acesso cross-role possível.",5,,,Sprint 1,infra entregue,infra
US-01 | Alertas de Velocidade em Tempo Real,Story,Highest,"Como Carlos (Diretor de Operações), quero receber alertas automáticos quando um motorista ultrapassar o limite de velocidade permitido, para poder agir preventivamente e reduzir o risco de sinistros.

Critérios de aceite:
- Alerta gerado em até 60s após detecção de excesso (P95)
- Notificação push entregue para Carlos e Priya simultaneamente
- Alerta inclui: motorista, veículo, velocidade detectada, limite da via, localização no mapa
- Histórico de alertas retido por 12 meses
- Taxa de falsos positivos < 2%

Nota: desenvolvimento iniciado no Sprint 1 (infra GPS/MQTT). Entrega formal no Sprint 4.",8,,[EPIC] Segurança e Redução de Sinistros,Sprint 1,planejado,alertas-velocidade notificacoes
US-02 | Manutenção Preditiva por km e tempo — planejamento inicial,Story,High,"Como Carlos, quero que o sistema avise automaticamente quando um veículo atingir o limite de km ou tempo desde a última revisão, para eliminar manutenções reativas e reduzir custos.

Critérios de aceite (versão planejamento — refinados nos Sprints 2 e 4):
- Alerta gerado com 15 dias de antecedência baseado em projeção de km rodados
- Suporte a múltiplos tipos de revisão: óleo, filtros, pneus, freios
- Histórico de manutenções por veículo acessível em até 3 cliques
- Importação do histórico dos últimos 2 anos a partir de planilha Excel

Nota: entrada de planejamento do Sprint 1. Contorno manual entregue no Sprint 2. Versão automática com telemetria entregue no Sprint 4.",5,,[EPIC] Manutenção Inteligente,Sprint 1,planejado,manutencao-preditiva
[BUG-S1-01] Rastreadores não conectam via MQTT em rede 3G,Bug,High,12 dos 140 rastreadores Teltonika FMB920 falham na conexão MQTT quando a rede cai para 3G (vs LTE). Causa raiz: timeout de handshake TLS muito curto para latência de 3G (~800ms). Fix: aumentar timeout de 3s para 10s e implementar exponential backoff. Afeta: rotas rurais com cobertura LTE instável.,,,,Sprint 1,bug resolvido,integracao-gps
[BUG-S1-02] Duplicação de registros no banco na reinserção após buffer offline,Bug,Medium,"Quando um rastreador reconecta após período offline, o buffer local é reenviado completo, gerando duplicatas no banco de telemetria. Causa: ausência de chave de idempotência no insert. Fix: usar ON CONFLICT DO NOTHING com chave composta (vehicle_id, timestamp_unix_ms, event_type). Detectado durante testes de carga com buffer de 4h simulado.",,,,Sprint 1,bug resolvido,integracao-gps infra
